158,189.0
169,467.5
287,235.5
290,460.0
292,317.0
331,496.5
335,643.5
439,312.5
541,534.5
566,616.0
573,639.5
681,353.5
686,539.0
781,601.5
892,724.0
916,549.0
920,563.0
975,774.5
1010,1003.0
1021,640.5
1035,685.5
1161,923.5
1221,794.5
1237,1025.5
1307,1060.5
1439,1189.5
1472,1104.0
1542,908.0
1933,963.5
1977,1339.5
2280,1308.0
2306,1594.0
2382,1577.0
2528,1403.0
2530,1445.0
2552,1503.0
2646,1830.0
2867,1643.5
3056,1624.0
3074,1595.0
3088,1940.0
3239,1857.5
3371,2110.5
3463,1815.5
3469,2098.5
3524,2189.0
3620,1983.0
3637,1917.5
3669,2274.5
3754,2193.0
3814,2098.0
3895,2318.5
3903,2325.5
3944,2383.0
4048,2351.0
4290,2203.0
4499,2478.5
4517,2644.5
4921,2881.5
5038,2689.0
5248,3012.0
5405,3182.5
5415,2953.5
5689,3231.5
5849,3050.5
5870,3356.0
5873,3207.5
5987,3327.5
6265,3178.5
6434,3557.0
6453,3690.5
6524,3491.0
6550,3725.0
6721,3705.5
6800,3738.0
6886,3941.0
6967,3848.5
7089,3521.5
7375,4113.5
7636,4245.0
7676,3917.0
7698,4033.0
7941,4000.5
7944,4209.0
8000,4467.0
8239,4098.5
8563,4428.5
8569,4305.5
8717,4639.5
8846,4758.0
8942,4525.0
9164,4997.0
9215,4851.5
9307,4778.5
9402,5195.0
9414,5022.0
9417,5027.5
9507,4890.5
9747,5030.5
9998,5048.0
